Timestamp,Birthday,Birthday,Zodiac,MBTI Type,,,,,,,,
4/12/2020 22:30,7/23/2000,7/23,Leo,ISFP,,,,,,,,
4/13/2020 6:06,7/23/2000,7/23,Leo,INFJ,,,,,,,,
4/13/2020 6:36,7/21/2000,7/21,Cancer,INFP,,,,,,,,
4/13/2020 3:38,7/18/2000,7/18,Cancer,INFJ,,,,,,,,
4/13/2020 6:43,7/18/2000,7/18,Cancer,INFP,,,,,,,,
4/13/2020 0:05,7/14/2000,7/14,Cancer,ISFJ,,,,,,,,
4/12/2020 19:26,7/12/2000,7/12,Cancer,INTP,,,,,,,,
4/13/2020 0:12,7/12/2000,7/12,Cancer,INFJ,,,,,,,,
4/13/2020 8:29,7/9/2000,7/9,Cancer,INFJ,,,,,,,,
4/12/2020 23:41,7/7/2000,7/7,Cancer,INTJ,,,,,,,,
4/12/2020 23:41,7/7/2000,7/7,Cancer,INTJ,,,,,,,,
4/13/2020 3:43,7/7/2000,7/7,Cancer,INFP,,,,,,,,
4/12/2020 22:08,7/4/2000,7/4,Cancer,INTP,,,,,,,,
4/13/2020 0:18,7/4/2000,7/4,Cancer,INFJ,,,,,,,,
4/13/2020 2:39,7/4/2000,7/4,Cancer,INTJ,,,,,,,,
4/13/2020 6:29,7/3/2000,7/3,Cancer,INFP,,,,,,,,
4/13/2020 8:10,7/2/2000,7/2,Cancer,INTP,,,,,,,,
4/12/2020 18:10,6/30/2000,6/30,Cancer,INFP,,,,,,,,
4/12/2020 18:10,6/30/2000,6/30,Cancer,INFP,,,,,,,,
4/12/2020 22:39,6/30/2000,6/30,Cancer,INTP,,,,,,,,
4/13/2020 8:27,6/30/2000,6/30,Cancer,ENTP,,,,,,,,
4/13/2020 3:02,6/28/2000,6/28,Cancer,INTJ,,,,,,,,
4/13/2020 8:53,6/28/2000,6/28,Cancer,INTJ,,,,,,,,
4/13/2020 6:59,6/27/2000,6/27,Cancer,INTJ,,,,,,,,
4/12/2020 23:00,6/26/2000,6/26,Cancer,ENFJ,,,,,,,,
4/13/2020 5:13,6/25/2000,6/25,Cancer,INTJ,,,,,,,,
4/13/2020 6:52,6/25/2000,6/25,Cancer,INFP,,,,,,,,
4/13/2020 1:36,6/23/2000,6/23,Cancer,INFJ,,,,,,,,
4/13/2020 3:59,6/23/2000,6/23,Cancer,INTP,,,,,,,,
4/13/2020 0:12,6/22/2000,6/22,Cancer,INFP,,,,,,,,
4/13/2020 3:31,6/18/2000,6/18,Gemini,ENTP,,,,,,,,
4/12/2020 23:40,6/16/2000,6/16,Gemini,INFP,,,,,,,,
4/13/2020 0:54,6/5/2000,6/5,Gemini,INFJ,,,,,,,,
4/12/2020 19:32,6/4/2000,6/4,Gemini,INTP,,,,,,,,
4/13/2020 6:56,6/2/2000,6/2,Gemini,INFJ,,,,,,,,
4/12/2020 23:30,5/31/2000,5/31,Gemini,INTP,,,,,,,,
4/12/2020 23:31,5/31/2000,5/31,Gemini,INFP,,,,,,,,
4/13/2020 10:08,5/31/2000,5/31,Gemini,INTP,,,,,,,,
4/13/2020 10:12,5/31/2000,5/31,Gemini,ISTP,,,,,,,,
4/12/2020 22:38,5/30/2000,5/30,Gemini,INFP,,,,,,,,
4/13/2020 8:35,5/28/2000,5/28,Gemini,INTJ,,,,,,,,
4/12/2020 23:25,5/25/2000,5/25,Gemini,INTP,,,,,,,,
4/12/2020 23:25,5/25/2000,5/25,Gemini,INFP,,,,,,,,
4/13/2020 8:11,5/24/2000,5/24,Gemini,ENTJ,,,,,,,,
4/12/2020 23:39,5/20/2000,5/20,Tauras,INFP,,,,,,,,
4/13/2020 0:46,5/20/2000,5/20,Tauras,INFP,,,,,,,,
4/13/2020 19:11,5/18/2000,5/18,Tauras,INFP,,,,,,,,
4/13/2020 16:01,5/15/2000,5/15,Tauras,ISTP,,,,,,,,
4/13/2020 4:49,5/13/2000,5/13,Tauras,INTJ,,,,,,,,
4/12/2020 23:10,5/12/2000,5/12,Tauras,ISTP,,,,,,,,
